timesOfLinkReference;countOfTheseLinks
1;11796
2;3989
3;1362
4;652
5;755
6;301
7;339
8;210
9;210
10;272
11;77
12;79
13;312
14;112
15;84
16;64
17;16
18;18
19;12
20;17
21;15
22;23
23;117
24;51
25;6
26;36
27;19
28;10
29;3
30;6
32;4
33;1
34;4
35;1
36;3
37;6
38;3
39;4
40;8
41;8
42;76
43;34
44;24
45;14
46;29
47;22
48;10
49;3
50;2
52;2
53;5
54;120
55;209
56;37
57;44
58;6
59;8
61;1
62;1
63;1
64;2
65;2
66;1
67;2
68;2
69;4
70;2
71;2
72;1
73;2
74;1
77;1
82;1
84;3
85;2
86;2
87;2
88;1
92;1
97;1
101;1
104;1
108;5
109;6
110;6
111;6
113;1
114;1
124;1
126;1
130;1
136;3
165;1
166;1
170;4
171;1
172;1
201;1
204;1
211;1
213;1
216;1
219;1
238;1
248;1
251;6
261;1
274;3
340;3
502;1
656;1
1655;1
