countOfLinks;countOfPages
0;41
1;1
2;1
5;1
6;1
7;1
8;1
10;4
14;2
15;1
16;3
21;1
22;2
24;1
25;1
27;2
28;2
29;2
30;2
31;4
33;6
34;19
35;4
36;4
37;3
38;2
39;1
40;1
42;1
43;5
44;3
45;2
46;7
47;5
48;4
49;5
50;6
51;5
52;5
53;7
55;1
56;3
57;3
58;1
59;1
60;1
61;5
62;1
63;5
64;3
65;1
66;1
67;3
68;3
69;2
70;7
71;3
72;2
73;1
74;3
77;3
78;1
79;1
80;2
81;13
83;2
85;2
86;4
87;1
89;1
90;1
91;1
92;1
93;1
94;2
95;3
96;2
98;1
99;4
100;1
101;1
102;2
103;1
104;1
105;1
107;1
108;3
109;3
110;1
111;6
112;3
113;5
114;2
115;4
116;8
117;6
118;6
119;3
120;5
121;4
122;5
123;6
124;7
125;3
126;3
127;4
128;2
129;2
130;4
131;6
132;2
133;4
134;1
135;2
136;2
137;1
139;3
140;2
141;1
142;2
143;3
145;2
146;2
147;1
148;2
150;3
152;1
153;2
154;2
156;2
157;2
158;1
159;1
160;3
161;2
163;1
164;1
165;2
166;1
168;1
169;4
170;1
171;2
172;2
173;1
174;2
175;1
176;1
177;1
178;1
179;2
180;1
181;1
182;1
183;1
184;3
185;1
186;2
187;1
188;2
189;3
190;1
191;4
192;2
193;3
194;3
195;2
197;1
198;3
199;3
200;3
201;1
203;1
204;4
206;1
207;3
208;1
209;3
210;1
211;1
212;3
213;6
214;1
215;8
216;5
217;3
218;3
219;4
220;6
221;2
222;4
223;3
224;2
225;4
226;1
227;4
228;4
229;1
230;2
231;1
232;3
233;1
234;2
236;3
237;1
238;3
239;3
240;2
241;5
243;1
244;1
245;1
246;1
247;2
248;1
249;2
250;2
252;2
253;5
254;3
255;3
257;3
258;2
259;1
260;4
261;1
262;5
264;3
265;3
266;1
267;2
268;3
269;1
270;1
271;1
272;1
274;1
277;2
278;2
280;1
281;1
282;1
283;1
286;1
288;1
289;1
297;2
300;2
301;1
302;1
309;1
310;1
311;2
314;2
315;1
320;2
321;1
322;1
327;1
330;1
340;1
344;1
347;1
354;2
360;1
361;1
363;1
365;1
366;1
367;1
368;1
369;1
370;1
372;2
374;1
380;2
384;1
386;1
393;4
394;2
396;2
399;4
401;2
402;2
403;1
404;1
405;2
406;3
407;4
408;1
409;2
410;1
412;1
413;3
414;1
415;1
419;1
420;1
421;1
422;1
423;1
424;1
426;1
427;1
431;1
433;1
434;1
436;1
439;1
441;1
443;1
447;1
448;1
452;1
455;1
459;1
464;1
465;1
466;1
469;1
476;1
481;3
485;1
486;2
487;1
488;2
489;6
490;1
491;3
492;2
493;1
494;3
495;5
496;4
497;2
498;3
499;2
500;3
501;1
503;2
504;1
505;1
506;3
507;2
508;1
509;1
510;2
511;2
512;2
513;2
514;1
516;4
517;2
519;1
520;2
522;1
523;1
526;1
528;2
533;1
536;2
537;1
540;1
542;2
543;1
546;2
548;1
553;1
559;1
560;1
586;1
588;1
592;1
594;2
596;1
601;2
602;2
603;2
605;1
607;1
608;1
609;3
610;4
611;2
614;1
615;2
616;2
617;1
619;1
620;1
622;1
623;1
625;2
629;1
630;1
634;1
635;1
641;1
647;2
650;1
659;1
661;1
662;1
666;1
671;1
809;1
811;1
816;1
820;1
825;1
828;1
832;1
837;2
839;1
842;1
844;1
845;1
847;1
848;1
849;1
896;1
902;2
912;1
1731;1
