timesOfLinkReference;countOfTheseLinks
1;21764
2;6273
3;1859
4;917
5;891
6;507
7;512
8;300
9;269
10;345
11;100
12;445
13;177
14;99
15;88
16;55
17;44
18;67
19;27
20;89
21;43
22;33
23;66
24;80
25;350
26;49
27;76
28;40
29;10
30;23
31;54
32;10
33;8
34;8
35;8
36;7
37;194
38;155
39;74
40;82
41;37
42;108
43;43
44;58
45;36
46;46
47;28
48;25
49;16
50;15
51;29
52;23
53;7
54;36
55;86
56;140
57;61
58;38
59;23
60;10
61;6
63;1
65;1
66;2
67;5
68;6
69;7
70;2
71;2
72;4
73;4
74;4
76;4
77;3
78;7
79;1
80;7
81;2
82;1
84;4
85;6
86;2
87;3
88;2
90;1
91;2
92;1
93;1
95;4
98;1
99;1
101;3
103;1
104;1
105;1
108;2
109;1
110;3
111;3
112;2
113;2
114;8
115;5
117;2
118;2
120;6
121;7
122;3
123;2
124;6
125;3
126;7
127;1
128;1
129;4
130;4
151;1
153;1
156;1
168;1
170;4
171;1
172;1
178;1
179;1
180;1
184;1
196;1
206;1
211;1
213;1
216;1
225;1
238;1
249;43
251;4
252;2
269;1
283;2
290;1
341;2
346;1
391;1
394;1
439;1
502;1
504;1
933;1
2314;1
